City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,gainesville,29.6516,-82.3248,21.55,59,97,2.25,US,1675637976
306,chulman,56.8479,124.9104,-27.61,98,100,1.62,RU,1675637976
307,sohag,26.557,31.6948,11.16,44,29,2.74,EG,1675637976
308,afzalpur,17.2,76.35,22.39,27,0,3.92,IN,1675637976
309,nichinan,31.6,131.3667,7.82,84,100,2.89,JP,1675637977
310,beisfjord,68.3751,17.5988,3.03,92,99,2.62,NO,1675637977
311,moree,-29.4667,149.85,27.26,47,1,4.9,AU,1675637977
312,kaitangata,-46.2817,169.8464,18.86,61,68,7.75,NZ,1675637978
313,yeppoon,-23.1333,150.7333,27.88,80,79,7.42,AU,1675637803
314,suntar,62.1444,117.6319,-49.34,100,69,1.23,RU,1675637978
315,necochea,-38.5473,-58.7368,24.44,48,61,2.8,AR,1675637978
316,paamiut,61.994,-49.6678,-9.5,79,100,9.32,GL,1675637979
317,meadow lake,34.8014,-106.5436,18.25,14,1,4.28,US,1675637979
318,geraldton,-28.7667,114.6,23.23,68,100,4.63,AU,1675637980
319,centenario do sul,-22.8211,-51.5953,23.16,72,67,1.59,BR,1675637980
320,minot,48.2325,-101.2963,3.12,65,0,2.06,US,1675637771
321,san patricio,28.017,-97.5169,26.05,64,0,5.14,US,1675637980
322,namibe,-15.1961,12.1522,21.76,79,46,2.63,AO,1675637809
323,lebanon,36.2081,-86.2911,14.03,56,75,5.66,US,1675637981
324,erenhot,43.6475,111.9767,-9.81,54,8,1.63,CN,1675637981
325,yenagoa,4.9247,6.2642,26.0,85,100,3.04,NG,1675637981
326,garissa,-0.4536,39.6401,24.76,68,9,4.44,KE,1675637982
327,portland,45.5234,-122.6762,10.32,89,100,8.75,US,1675637750
328,waipawa,-41.4122,175.5153,21.75,58,0,7.78,NZ,1675637982
329,bertoua,4.5833,13.6833,22.95,24,14,0.8,CM,1675637982
330,port keats,-14.25,129.55,27.18,73,65,1.35,AU,1675637983
331,maldonado,-34.6667,-54.9167,23.66,78,1,2.47,UY,1675637983
332,bolivar,37.6145,-93.4105,16.42,40,38,2.39,US,1675637691
333,san pedro,14.35,121.0167,25.57,84,75,1.54,PH,1675637868
334,ugoofaaru,5.6667,73.0,26.63,77,93,1.33,MV,1675637983
335,shache,38.4167,77.2406,-4.33,81,100,2.12,CN,1675637984
336,mlonggo,-6.5333,110.7,26.2,83,97,2.19,ID,1675637984
337,olafsvik,64.8945,-23.7142,3.58,80,100,19.4,IS,1675637984
338,okhotsk,59.3833,143.3,-26.01,82,97,4.91,RU,1675637985
339,festus,38.2206,-90.396,10.37,56,0,2.48,US,1675637985
340,jalu,29.0331,21.5482,11.05,62,11,5.37,LY,1675637985
341,izhma,65.0083,53.9113,-22.02,100,97,1.45,RU,1675637986
342,ponta do sol,32.6667,-17.1,16.67,51,34,2.13,PT,1675637986
343,juneau,58.3019,-134.4197,2.34,94,100,8.23,US,1675637754
344,chacabuco,-34.6417,-60.4739,27.68,23,9,2.01,AR,1675637986
345,nanortalik,60.1432,-45.2371,-6.21,65,100,15.29,GL,1675637987
346,klaksvik,62.2266,-6.589,9.51,93,100,15.44,FO,1675637987
347,coquimbo,-29.9533,-71.3436,21.85,64,0,6.17,CL,1675637987
348,amapa,1.0,-52.0,22.49,97,100,2.39,BR,1675637988
349,port lincoln,-34.7333,135.8667,18.36,70,8,6.2,AU,1675637988
350,kamenka,51.3223,42.7678,-14.01,98,85,1.84,RU,1675637819
351,san carlos,9.6612,-68.5827,29.01,40,38,0.92,VE,1675637808
352,pirgos,35.1167,25.7178,6.46,81,86,14.21,GR,1675637988
353,anloga,5.7947,0.8973,27.42,86,100,5.53,GH,1675637989
354,kachug,53.9606,105.8817,-20.04,99,100,0.89,RU,1675637989
355,dhidhdhoo,6.8833,73.1,26.58,75,27,1.12,MV,1675637989
356,praia da vitoria,38.7333,-27.0667,15.98,88,75,7.41,PT,1675637990
357,uddevalla,58.3478,11.9424,0.04,94,81,0.19,SE,1675637990
358,coos bay,43.3665,-124.2179,9.62,87,75,7.72,US,1675637990
359,maceio,-9.6658,-35.7353,26.69,89,40,2.06,BR,1675637991
360,porto velho,-8.7619,-63.9039,23.03,94,20,0.0,BR,1675637991
361,norden,53.6,7.2,5.54,97,33,5.12,DE,1675637991
362,lakeside,30.13,-81.7682,20.32,78,100,1.34,US,1675637991
363,areosa,41.7178,-8.8571,10.04,67,0,2.6,PT,1675637992
364,pauini,-7.7136,-66.9764,24.4,92,71,1.37,BR,1675637992
